branch_id_1	branch_id_2	branch_id_3	branch_id_4	dist_bl	dist_node_num	branch_num_fg_tube	branch_num_fg_pink	branch_num_fg_yellow	branch_num_fg_beakless	branch_num_mg_tube	branch_num_mg_pink	branch_num_mg_yellow	branch_num_mg_beakless	is_fg_tube	is_fg_pink	is_fg_yellow	is_fg_beakless	is_mf_tube	is_mf_pink	is_mf_yellow	is_mf_beakless	is_mg_tube	is_mg_pink	is_mg_yellow	is_mg_beakless	omegaCany2any	omegaCany2dif	omegaCany2spe	omegaCdif2any	omegaCdif2dif	omegaCdif2spe	omegaCspe2any	omegaCspe2dif	omegaCspe2spe	dNCany2any	dNCany2dif	dNCany2spe	dNCdif2any	dNCdif2dif	dNCdif2spe	dNCspe2any	dNCspe2dif	dNCspe2spe	dSCany2any	dSCany2dif	dSCany2spe	dSCdif2any	dSCdif2dif	dSCdif2spe	dSCspe2any	dSCspe2dif	dSCspe2spe	OCNCoD	OCSCoD	OCN_linreg_residual	OCS_linreg_residual	N_sub_1	N_sub_2	S_sub_1	S_sub_2	OCNany2any	OCNany2dif	OCNany2spe	OCNdif2any	OCNdif2dif	OCNdif2spe	OCNspe2any	OCNspe2dif	OCNspe2spe	OCSany2any	OCSany2dif	OCSany2spe	OCSdif2any	OCSdif2dif	OCSdif2spe	OCSspe2any	OCSspe2dif	OCSspe2spe	ECNany2any	ECNany2dif	ECNany2spe	ECNdif2any	ECNdif2dif	ECNdif2spe	ECNspe2any	ECNspe2dif	ECNspe2spe	ECSany2any	ECSany2dif	ECSany2spe	ECSdif2any	ECSdif2dif	ECSdif2spe	ECSspe2any	ECSspe2dif	ECSspe2spe
5	34	38	74	0.1493	8	4	2	2	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	49.0497	51.2009	215.1802	8.9753	9.6398	5.1557	19.7362	1252.4305	226.9105	284.2863	51.9231	28166.6504	11.7883	11.3066	434.5572	533.4797	89.5804	30118.9145	5.7959	1.0141	130.8979	1.3134	1.1729	84.2875	27.0305	0.0715	132.7348	4.5208	4.9337	-0.1888	0.0149	18.0344	10.9963	20.9038	10.0133	2.5657	0.4647	2.1010	0.0508	0.0487	0.0021	2.5149	0.4160	2.0988	0.0914	0.0154	0.0760	0.0171	0.0153	0.0019	0.0743	0.0002	0.0742	0.0090	0.0090	0.0001	0.0043	0.0043	0.0000	0.0047	0.0046	0.0001	0.0158	0.0152	0.0006	0.0130	0.0130	0.0000	0.0027	0.0022	0.0006
5	34	38	99	0.1431	7	3	3	1	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	68.8728	4.5374	262.7558	9.3563	9.2433	72.9561	28.5979	1.1277	254.9638	618.2119	16.9434	43096.8004	35.3346	32.2290	6519.1486	1026.7918	5.9772	43621.2612	8.9761	3.7342	164.0185	3.7766	3.4867	89.3571	35.9045	5.3004	171.0881	36.0033	1.4851	0.2042	-0.0156	18.0344	10.9963	20.9038	10.0133	2.5359	0.0685	2.4674	0.0597	0.0545	0.0053	2.4762	0.0141	2.4621	0.2204	0.0887	0.1317	0.0777	0.0715	0.0062	0.1427	0.0172	0.1255	0.0041	0.0040	0.0001	0.0017	0.0017	0.0000	0.0024	0.0024	0.0001	0.0246	0.0237	0.0008	0.0206	0.0205	0.0001	0.0040	0.0032	0.0007
5	34	74	99	0.1493	8	3	3	1	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	132.5834	47.0923	1059.5681	13.1848	13.1129	40.2244	91.7927	289.4943	1154.1248	280.0775	48.4671	30479.4603	15.6852	14.5138	1137.7748	725.3745	106.6796	33239.4591	2.1125	1.0292	28.7659	1.1896	1.1068	28.2857	7.9023	0.3685	28.8006	4.8230	1.1360	-0.1117	-0.0080	18.0344	10.9963	20.9038	10.0133	1.7406	0.2989	1.4417	0.0612	0.0565	0.0046	1.6795	0.2424	1.4371	0.0589	0.0276	0.0313	0.0286	0.0265	0.0021	0.0303	0.0010	0.0292	0.0062	0.0062	0.0000	0.0039	0.0039	0.0000	0.0023	0.0023	0.0000	0.0279	0.0268	0.0011	0.0240	0.0240	0.0001	0.0038	0.0028	0.0010
5	34	77	99	0.1378	6	2	4	0	0	0	0	0	0	N	Y	N	N	N	N	N	N	N	N	N	N	23.9988	1.3653	219.3661	2.7691	2.5307	70.0086	14.6838	0.5892	212.6470	578.8073	22.2527	40256.8385	25.4488	21.9480	6999.1023	890.6054	22.4281	40697.3635	24.1182	16.2993	183.5144	9.1903	8.6726	99.9748	60.6521	38.0652	191.3846	25.3755	0.5523	0.1566	-0.0531	18.0344	10.9963	20.9038	10.0133	2.2494	0.0853	2.1641	0.0356	0.0307	0.0049	2.2138	0.0546	2.1592	0.1697	0.1093	0.0604	0.0459	0.0431	0.0028	0.1238	0.0663	0.0575	0.0039	0.0038	0.0001	0.0014	0.0014	0.0000	0.0025	0.0024	0.0001	0.0070	0.0067	0.0003	0.0050	0.0050	0.0000	0.0020	0.0017	0.0003
5	34	89	99	0.1430	6	2	4	0	1	0	0	0	0	N	Y	N	N	N	N	N	N	N	N	N	N	22.0844	1.5659	156.9831	3.1840	3.1177	46.4564	15.2772	0.6870	151.9543	304.6126	11.4489	22075.8710	19.7786	18.0579	3436.0458	464.2826	7.6686	22333.0622	13.7931	7.3114	140.6257	6.2119	5.7921	73.9628	30.3906	11.1622	146.9723	25.9645	0.9829	0.1817	-0.0632	18.0344	10.9963	20.9038	10.0133	2.5782	0.0956	2.4826	0.0601	0.0549	0.0053	2.5181	0.0407	2.4773	0.3660	0.1846	0.1814	0.1132	0.1049	0.0083	0.2529	0.0797	0.1731	0.0085	0.0084	0.0001	0.0030	0.0030	0.0000	0.0054	0.0053	0.0001	0.0265	0.0252	0.0013	0.0182	0.0181	0.0001	0.0083	0.0071	0.0012
5	38	74	99	0.1220	6	3	2	2	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	146.0289	52.2414	1454.0158	12.9335	15.1982	18.8847	101.5898	116.6782	1870.9688	388.8143	67.0931	40954.2954	21.0334	19.4535	1450.6278	1063.0985	156.1434	44898.4049	2.6626	1.2843	28.1663	1.6263	1.2800	76.8150	10.4646	1.3382	23.9974	4.8411	1.1852	-0.1103	-0.0196	18.0344	7.0097	20.9038	4.9701	1.7329	0.2967	1.4363	0.0607	0.0560	0.0046	1.6723	0.2406	1.4316	0.1553	0.0711	0.0842	0.0837	0.0656	0.0181	0.0716	0.0055	0.0661	0.0045	0.0044	0.0000	0.0029	0.0029	0.0000	0.0016	0.0015	0.0000	0.0583	0.0553	0.0030	0.0515	0.0512	0.0002	0.0068	0.0041	0.0028
5	38	77	99	0.1220	5	2	3	1	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	45.4839	2.5060	218.4729	3.5842	3.8268	21.6976	20.4011	0.9278	238.5349	803.1506	21.5792	54849.7369	31.5237	27.1490	9630.8602	1335.1727	17.6472	55447.2308	17.6579	8.6109	251.0597	8.7952	7.0944	443.8676	65.4461	19.0203	232.4491	36.7570	1.1301	0.1797	-0.0389	18.0344	7.0097	20.9038	4.9701	2.2169	0.0587	2.1582	0.0355	0.0306	0.0049	2.1814	0.0281	2.1532	0.2819	0.1323	0.1495	0.1184	0.0952	0.0233	0.1634	0.0372	0.1263	0.0028	0.0027	0.0000	0.0011	0.0011	0.0000	0.0016	0.0016	0.0000	0.0160	0.0154	0.0006	0.0135	0.0134	0.0001	0.0025	0.0020	0.0005
12	34	38	74	0.1493	8	4	2	2	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	12.7706	2.1707	60.5452	3.6548	3.6318	5.7782	4.5281	8.1691	62.6970	330.8269	5.3063	38827.0146	10.8626	10.2660	526.5358	626.4917	0.6585	41542.0492	25.9053	2.4445	641.2899	2.9721	2.8267	91.1239	138.3553	0.0806	662.5842	61.8734	10.0012	0.1942	0.0955	12.0404	10.9963	20.8666	10.0133	2.1195	0.0337	2.0858	0.0334	0.0316	0.0019	2.0861	0.0022	2.0839	0.3968	0.0361	0.3607	0.0378	0.0359	0.0019	0.3590	0.0002	0.3588	0.0064	0.0064	0.0001	0.0031	0.0031	0.0000	0.0033	0.0033	0.0001	0.0153	0.0148	0.0006	0.0127	0.0127	0.0000	0.0026	0.0021	0.0005
34	38	65	74	0.1493	8	3	2	2	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	18.6904	31.9998	74.2014	6.2840	6.3041	7.6159	6.0994	512.7877	77.0116	514.6211	90.4430	50443.6880	20.9302	20.0631	768.3904	975.6191	157.0999	53977.6585	27.5339	2.8264	679.8215	3.3307	3.1825	100.8929	159.9543	0.3064	700.9030	4.7383	9.1108	-0.1689	0.0896	10.9963	7.0097	10.0133	4.9701	2.5307	0.4410	2.0897	0.0497	0.0476	0.0021	2.4810	0.3934	2.0876	0.3852	0.0381	0.3471	0.0394	0.0376	0.0018	0.3458	0.0005	0.3453	0.0049	0.0049	0.0000	0.0024	0.0024	0.0000	0.0025	0.0025	0.0000	0.0140	0.0135	0.0005	0.0118	0.0118	0.0000	0.0022	0.0017	0.0005
34	38	65	99	0.1431	7	2	3	1	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	44.4077	3.8909	143.8166	7.2999	6.8673	110.7175	15.3599	1.8569	136.6626	1126.0157	30.8454	76450.4087	61.1136	55.4800	11939.3627	1892.4191	12.6831	77356.0128	25.3563	7.9276	531.5828	8.3718	8.0788	107.8363	123.2055	6.8304	566.0363	36.0359	2.3086	0.2014	0.0164	10.9963	7.0097	10.0133	4.9701	2.5007	0.0675	2.4332	0.0568	0.0515	0.0053	2.4439	0.0160	2.4280	0.5584	0.1688	0.3896	0.1571	0.1511	0.0059	0.4013	0.0176	0.3837	0.0022	0.0022	0.0000	0.0009	0.0009	0.0000	0.0013	0.0013	0.0000	0.0220	0.0213	0.0007	0.0188	0.0187	0.0001	0.0033	0.0026	0.0007
