branch_id_1	branch_id_2	branch_id_3	branch_id_4	branch_id_5	branch_id_6	dist_bl	dist_node_num	branch_num_fg_tube	branch_num_fg_pink	branch_num_fg_yellow	branch_num_fg_beakless	branch_num_mg_tube	branch_num_mg_pink	branch_num_mg_yellow	branch_num_mg_beakless	is_fg_tube	is_fg_pink	is_fg_yellow	is_fg_beakless	is_mf_tube	is_mf_pink	is_mf_yellow	is_mf_beakless	is_mg_tube	is_mg_pink	is_mg_yellow	is_mg_beakless	omegaCany2any	omegaCany2dif	omegaCany2spe	omegaCdif2any	omegaCdif2dif	omegaCdif2spe	omegaCspe2any	omegaCspe2dif	omegaCspe2spe	dNCany2any	dNCany2dif	dNCany2spe	dNCdif2any	dNCdif2dif	dNCdif2spe	dNCspe2any	dNCspe2dif	dNCspe2spe	dSCany2any	dSCany2dif	dSCany2spe	dSCdif2any	dSCdif2dif	dSCdif2spe	dSCspe2any	dSCspe2dif	dSCspe2spe	OCNCoD	OCSCoD	OCN_linreg_residual	OCS_linreg_residual	N_sub_1	N_sub_2	S_sub_1	S_sub_2	OCNany2any	OCNany2dif	OCNany2spe	OCNdif2any	OCNdif2dif	OCNdif2spe	OCNspe2any	OCNspe2dif	OCNspe2spe	OCSany2any	OCSany2dif	OCSany2spe	OCSdif2any	OCSdif2dif	OCSdif2spe	OCSspe2any	OCSspe2dif	OCSspe2spe	ECNany2any	ECNany2dif	ECNany2spe	ECNdif2any	ECNdif2dif	ECNdif2spe	ECNspe2any	ECNspe2dif	ECNspe2spe	ECSany2any	ECSany2dif	ECSany2spe	ECSdif2any	ECSdif2dif	ECSdif2spe	ECSspe2any	ECSspe2dif	ECSspe2spe
0	6	7	26	55	66	0.1852	13	5	5	2	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	7.2858	0.0000	inf	4.6081	0.0000	inf	5.4483	0.0000	inf	352496.0181	0.0000	2692989139.5851	3021.5008	0.0000	inf	385563.4498	0.0000	3335269425.3519	48381.2471	48638.3849	0.0000	655.6885	656.3894	0.0000	70767.7443	71285.6801	0.0000	inf	0.0000	0.8013	0.0000	20.0214	13.0000	29.2051	20.3964	2.9959	0.0000	2.9959	0.0022	0.0000	0.0022	2.9937	0.0000	2.9937	0.9901	0.9901	0.0000	0.0043	0.0043	0.0000	0.9858	0.9858	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0	6	7	26	55	70	0.1852	13	4	4	3	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	556039.0831	139133.2391	3699173229.2416	1914.8351	1018.2282	inf	604645.3406	151244.5913	5154488969.2891	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.9969	0.0690	0.0000	20.0214	13.0000	11.5861	20.3964	10.8689	0.9999	2.9966	0.0011	0.0006	0.0005	3.9954	0.9993	2.9961	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
0	6	7	26	66	70	0.1654	13	4	4	2	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	134672.9666	44911.6559	958636232.5330	1093.5350	255.2164	inf	154678.5771	51598.5011	1449147255.0730	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.9989	-0.1977	0.0000	20.0214	13.0000	11.5861	20.3964	10.8689	0.9988	1.9965	0.0032	0.0007	0.0024	2.9921	0.9981	1.9941	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
0	6	7	55	66	70	0.1852	12	5	4	3	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	199438.4797	66510.1106	1416921445.4935	1628.2854	381.2185	inf	228772.2697	76314.8238	2139398565.8624	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.9989	-0.1977	0.0000	20.0214	13.0000	11.5861	20.3964	10.8689	0.9988	1.9965	0.0032	0.0007	0.0024	2.9922	0.9981	1.9941	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
0	6	26	55	66	70	0.1852	13	4	5	2	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	370810.4215	123658.7998	2622958119.2073	3079.3065	714.1497	inf	424872.0528	141730.1831	3959713816.5697	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.9989	-0.1976	0.0000	20.0214	13.0000	6.0002	20.3964	10.0027	0.9988	1.9965	0.0032	0.0007	0.0024	2.9920	0.9980	1.9940	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
0	7	26	55	66	69	0.1852	13	4	5	2	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	10.3731	0.0052	inf	6.7677	0.0084	inf	7.7265	0.0039	inf	892558.4537	453.6429	6827611654.3218	7868.1778	9.7500	inf	973836.0939	494.4163	8463220307.2906	86045.3247	86501.9648	0.0000	1162.6019	1163.8594	0.0000	126038.8944	126960.2605	0.0000	1966.7927	0.0000	0.7982	0.0000	20.0214	11.5861	29.2051	10.8689	2.9902	0.0015	2.9886	0.0022	0.0000	0.0022	2.9879	0.0015	2.9864	0.8001	0.8001	0.0000	0.0035	0.0035	0.0000	0.7966	0.7966	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0	7	26	55	66	70	0.1852	13	4	4	3	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	472471.3473	157564.6061	2759147689.5827	4243.4667	984.0875	inf	535419.4113	178613.3725	3422270772.6452	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.9989	-0.1976	0.0000	20.0214	11.5861	6.0002	10.8689	10.0027	0.9988	1.9965	0.0032	0.0007	0.0024	2.9920	0.9980	1.9940	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
0	7	26	55	69	70	0.1852	13	3	4	3	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	1406608.3506	353066.7982	9339568112.1568	4983.9298	2651.9121	inf	1525867.5222	382872.9319	12978354596.9731	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.9844	0.0657	0.0000	20.0214	11.5861	6.0002	10.8689	10.0027	1.0005	2.9859	0.0011	0.0006	0.0005	3.9852	0.9999	2.9854	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
0	7	26	66	69	70	0.1654	13	3	4	2	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	341588.5887	113978.9119	2424747123.6316	2844.2736	665.6792	inf	390919.2083	130477.5390	3656482048.5617	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.9972	-0.1978	0.0000	20.0214	11.5861	6.0002	10.8689	10.0027	0.9974	1.9921	0.0032	0.0007	0.0024	2.9863	0.9967	1.9897	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
0	7	55	66	69	70	0.1852	12	4	4	3	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	inf	inf	inf	505815.4458	168777.0198	3583890641.8584	4234.6900	994.2036	inf	578145.0573	192967.5032	5398050194.8098	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.9972	-0.1978	0.0000	20.0214	11.5861	4.0003	10.8689	3.0017	0.9974	1.9921	0.0032	0.0007	0.0024	2.9864	0.9967	1.9897	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
