branch_id_1	branch_id_2	branch_id_3	dist_bl	dist_node_num	branch_num_fg_tube	branch_num_fg_pink	branch_num_fg_yellow	branch_num_fg_beakless	branch_num_mg_tube	branch_num_mg_pink	branch_num_mg_yellow	branch_num_mg_beakless	is_fg_tube	is_fg_pink	is_fg_yellow	is_fg_beakless	is_mf_tube	is_mf_pink	is_mf_yellow	is_mf_beakless	is_mg_tube	is_mg_pink	is_mg_yellow	is_mg_beakless	omegaCany2any	omegaCany2dif	omegaCany2spe	omegaCdif2any	omegaCdif2dif	omegaCdif2spe	omegaCspe2any	omegaCspe2dif	omegaCspe2spe	dNCany2any	dNCany2dif	dNCany2spe	dNCdif2any	dNCdif2dif	dNCdif2spe	dNCspe2any	dNCspe2dif	dNCspe2spe	dSCany2any	dSCany2dif	dSCany2spe	dSCdif2any	dSCdif2dif	dSCdif2spe	dSCspe2any	dSCspe2dif	dSCspe2spe	OCNCoD	OCSCoD	OCN_linreg_residual	OCS_linreg_residual	N_sub_1	N_sub_2	S_sub_1	S_sub_2	OCNany2any	OCNany2dif	OCNany2spe	OCNdif2any	OCNdif2dif	OCNdif2spe	OCNspe2any	OCNspe2dif	OCNspe2spe	OCSany2any	OCSany2dif	OCSany2spe	OCSdif2any	OCSdif2dif	OCSdif2spe	OCSspe2any	OCSspe2dif	OCSspe2spe	ECNany2any	ECNany2dif	ECNany2spe	ECNdif2any	ECNdif2dif	ECNdif2spe	ECNspe2any	ECNspe2dif	ECNspe2spe	ECSany2any	ECSany2dif	ECSany2spe	ECSdif2any	ECSdif2dif	ECSdif2spe	ECSspe2any	ECSspe2dif	ECSspe2spe
0	47	72	0.4111	10	2	1	1	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	5.2353	1.4201	4578.5453	1.0800	1.0402	5172.8136	994.5133	inf	5958.1408	1.5575	0.4697	90.9185	0.6191	0.6214	0.2405	4.3512	0.0070	147.0136	0.2975	0.3307	0.0199	0.5732	0.5974	0.0000	0.0044	0.0000	0.0247	2.3567	0.0072	0.5741	0.0001	17.9168	25.4751	14.5693	6.4509	1.3545	0.4035	0.9509	0.4030	0.4020	0.0010	0.9515	0.0015	0.9500	0.0225	0.0223	0.0002	0.0223	0.0223	0.0000	0.0002	0.0000	0.0002	0.8696	0.8592	0.0105	0.6510	0.6470	0.0040	0.2187	0.2122	0.0065	0.0756	0.0676	0.0081	0.0390	0.0374	0.0016	0.0367	0.0302	0.0065
4	15	116	0.3180	9	1	3	0	0	0	0	0	0	N	Y	N	N	N	N	N	N	N	N	N	N	210.6713	182.6238	11.2985	239.0533	232.3752	15.8693	0.0905	0.0604	13.8687	1.8853	1.9117	0.0016	2.8920	2.9121	0.0004	0.0005	0.0005	0.0022	0.0089	0.0105	0.0001	0.0121	0.0125	0.0000	0.0055	0.0075	0.0002	0.0000	0.0023	-0.2775	0.0000	18.3166	24.8259	20.3927	32.0372	0.9972	0.9972	0.0000	0.9971	0.9971	0.0000	0.0001	0.0001	0.0000	0.0010	0.0010	0.0000	0.0007	0.0007	0.0000	0.0003	0.0003	0.0000	0.5289	0.5216	0.0073	0.3448	0.3424	0.0024	0.1841	0.1792	0.0049	0.1133	0.0967	0.0167	0.0593	0.0572	0.0021	0.0541	0.0395	0.0146
4	25	72	0.2405	8	0	2	0	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	0.6128	0.5362	21.4645	0.4316	0.4127	6.1627	0.8779	0.7096	171.6633	2.4304	2.4659	0.0101	0.0072	0.0071	0.0276	5.9665	6.1224	0.0032	3.9660	4.5992	0.0005	0.0168	0.0172	0.0045	6.7962	8.6280	0.0000	0.0001	0.0000	-0.2751	-0.0005	18.3166	11.9020	20.3927	9.5669	0.9888	0.9887	0.0001	0.0017	0.0017	0.0000	0.9870	0.9870	0.0000	0.2988	0.2988	0.0000	0.0005	0.0005	0.0000	0.2983	0.2983	0.0000	0.4068	0.4010	0.0059	0.2414	0.2397	0.0017	0.1654	0.1612	0.0042	0.0753	0.0650	0.0104	0.0315	0.0304	0.0011	0.0439	0.0346	0.0093
4	33	72	0.3015	8	0	2	0	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	24.3808	20.6497	inf	19.7255	18.9309	inf	inf	inf	inf	0.0321	0.0323	0.0167	0.0590	0.0591	0.0465	0.0002	0.0001	0.0060	0.0013	0.0016	0.0000	0.0030	0.0031	0.0000	0.0000	0.0000	0.0000	0.0083	0.0000	-0.0062	-0.0000	18.3166	25.7725	20.3927	18.0172	0.0231	0.0229	0.0002	0.0230	0.0229	0.0001	0.0001	0.0000	0.0000	0.0001	0.0001	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.7198	0.7084	0.0114	0.3903	0.3873	0.0030	0.3295	0.3211	0.0084	0.1138	0.0957	0.0182	0.0501	0.0480	0.0021	0.0637	0.0477	0.0161
4	38	91	0.1992	5	0	3	0	1	0	0	0	0	N	Y	N	N	N	N	N	N	N	N	N	N	13.5672	12.0085	0.0918	3.3887	3.3491	1.3285	288.2085	321.2728	0.1202	0.4360	0.4492	0.0001	0.4558	0.4627	0.0000	0.3983	0.4224	0.0002	0.0321	0.0374	0.0016	0.1345	0.1382	0.0000	0.0014	0.0013	0.0017	0.0000	0.0074	-0.1705	0.0000	18.3166	50.3238	20.3927	38.4770	0.6128	0.6128	0.0000	0.4199	0.4199	0.0000	0.1929	0.1929	0.0000	0.0052	0.0051	0.0000	0.0050	0.0050	0.0000	0.0002	0.0001	0.0000	1.4055	1.3641	0.0414	0.9212	0.9075	0.0137	0.4843	0.4566	0.0277	0.1607	0.1370	0.0237	0.0371	0.0361	0.0010	0.1236	0.1009	0.0227
4	43	72	0.2415	6	0	2	0	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	75.0376	1957.0059	0.0000	44.8356	1318.4705	0.0000	856.8227	inf	0.0027	0.7900	0.8000	0.0000	1.0973	1.1038	0.0000	0.0297	0.0305	0.0000	0.0105	0.0004	0.0659	0.0245	0.0008	0.6159	0.0000	0.0000	0.0001	0.0000	29.4604	-0.1916	0.0012	18.3166	20.7218	20.3927	16.6703	0.6886	0.6886	0.0000	0.6811	0.6811	0.0000	0.0074	0.0074	0.0000	0.0012	0.0000	0.0012	0.0012	0.0000	0.0012	0.0000	0.0000	0.0000	0.8716	0.8607	0.0109	0.6207	0.6171	0.0036	0.2509	0.2436	0.0073	0.1146	0.0969	0.0177	0.0492	0.0473	0.0019	0.0654	0.0496	0.0158
4	47	72	0.3426	9	1	1	1	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	6728.9576	6383.1097	221.1803	11450.4471	13104.1589	67.2272	166.0526	132.6196	1949.8226	1.1986	1.2130	0.0215	1.7781	1.7876	0.0441	0.0333	0.0339	0.0117	0.0002	0.0002	0.0001	0.0002	0.0001	0.0007	0.0002	0.0003	0.0000	0.0002	0.0756	-0.2873	0.0000	18.3166	25.4751	20.3927	6.4509	1.0332	1.0329	0.0002	1.0236	1.0235	0.0001	0.0095	0.0095	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8619	0.8516	0.0104	0.5757	0.5725	0.0032	0.2863	0.2790	0.0072	0.0982	0.0856	0.0126	0.0489	0.0471	0.0018	0.0494	0.0385	0.0108
4	72	79	0.2243	7	0	2	0	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	31.5356	26.7861	21.4122	1.9275	1.8790	inf	1605.5589	1224.5068	17.3449	1.8876	1.9186	0.0000	0.2741	0.2764	0.0000	3.6078	3.6983	0.0000	0.0599	0.0716	0.0000	0.1422	0.1471	0.0000	0.0022	0.0030	0.0000	0.0000	0.0000	-0.7120	-0.0000	18.3166	70.7425	20.3927	37.4855	2.5587	2.5587	0.0000	0.1917	0.1917	0.0000	2.3670	2.3670	0.0000	0.0186	0.0186	0.0000	0.0182	0.0182	0.0000	0.0004	0.0004	0.0000	1.3555	1.3336	0.0219	0.6995	0.6936	0.0059	0.6561	0.6400	0.0161	0.3109	0.2598	0.0511	0.1280	0.1237	0.0043	0.1829	0.1361	0.0468
4	72	91	0.3493	6	0	2	0	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	15.2400	41.7977	0.0149	0.3228	1.0309	0.0012	3991.9312	3710.4299	7.5937	0.4244	0.4300	0.0017	0.0254	0.0255	0.0018	1.3592	1.3997	0.0017	0.0278	0.0103	0.1166	0.0786	0.0248	1.5932	0.0003	0.0004	0.0002	0.0001	2.2428	-0.1515	0.0020	18.3166	70.7425	20.3927	37.4855	0.5446	0.5446	0.0000	0.0228	0.0228	0.0000	0.5218	0.5217	0.0000	0.0029	0.0009	0.0020	0.0029	0.0009	0.0020	0.0000	0.0000	0.0000	1.2831	1.2665	0.0166	0.8992	0.8937	0.0055	0.3839	0.3728	0.0111	0.1053	0.0879	0.0174	0.0370	0.0357	0.0013	0.0683	0.0522	0.0161
4	72	116	0.2857	9	1	2	0	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	0.4913	0.4124	0.0021	96.7768	93.6736	0.0007	0.1623	0.1241	0.0024	2.2239	2.2554	0.0000	2.9063	2.9257	0.0000	1.1851	1.2156	0.0000	4.5266	5.4696	0.0001	0.0300	0.0312	0.0006	7.3020	9.7959	0.0000	0.0000	0.0000	-0.7440	-0.0013	18.3166	70.7425	20.3927	37.4855	2.6738	2.6738	0.0000	2.1089	2.1089	0.0000	0.5649	0.5649	0.0000	0.8421	0.8421	0.0000	0.0021	0.0021	0.0000	0.8399	0.8399	0.0000	1.2023	1.1855	0.0168	0.7256	0.7208	0.0048	0.4767	0.4647	0.0120	0.1860	0.1540	0.0321	0.0710	0.0682	0.0028	0.1150	0.0857	0.0293
