branch_id_1	branch_id_2	branch_id_3	dist_bl	dist_node_num	branch_num_fg_tube	branch_num_fg_pink	branch_num_fg_yellow	branch_num_fg_beakless	branch_num_mg_tube	branch_num_mg_pink	branch_num_mg_yellow	branch_num_mg_beakless	is_fg_tube	is_fg_pink	is_fg_yellow	is_fg_beakless	is_mf_tube	is_mf_pink	is_mf_yellow	is_mf_beakless	is_mg_tube	is_mg_pink	is_mg_yellow	is_mg_beakless	omegaCany2any	omegaCany2dif	omegaCany2spe	omegaCdif2any	omegaCdif2dif	omegaCdif2spe	omegaCspe2any	omegaCspe2dif	omegaCspe2spe	dNCany2any	dNCany2dif	dNCany2spe	dNCdif2any	dNCdif2dif	dNCdif2spe	dNCspe2any	dNCspe2dif	dNCspe2spe	dSCany2any	dSCany2dif	dSCany2spe	dSCdif2any	dSCdif2dif	dSCdif2spe	dSCspe2any	dSCspe2dif	dSCspe2spe	OCNCoD	OCSCoD	OCN_linreg_residual	OCS_linreg_residual	N_sub_1	N_sub_2	S_sub_1	S_sub_2	OCNany2any	OCNany2dif	OCNany2spe	OCNdif2any	OCNdif2dif	OCNdif2spe	OCNspe2any	OCNspe2dif	OCNspe2spe	OCSany2any	OCSany2dif	OCSany2spe	OCSdif2any	OCSdif2dif	OCSdif2spe	OCSspe2any	OCSspe2dif	OCSspe2spe	ECNany2any	ECNany2dif	ECNany2spe	ECNdif2any	ECNdif2dif	ECNdif2spe	ECNspe2any	ECNspe2dif	ECNspe2spe	ECSany2any	ECSany2dif	ECSany2spe	ECSdif2any	ECSdif2dif	ECSdif2spe	ECSspe2any	ECSspe2dif	ECSspe2spe
2	9	65	0.3535	5	2	2	1	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	153196.8588	256418.3660	43009.7690	158206.1985	233283.2727	13983.4066	7634.9224	inf	47446.2634	0.7896	0.7888	0.8608	1.0587	1.0561	1.5106	0.0211	0.0090	0.4659	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0122	0.9098	-0.1851	0.0000	13.4418	16.9963	7.2371	14.9654	0.7146	0.7060	0.0086	0.7097	0.7040	0.0057	0.0049	0.0020	0.0029	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9050	0.8950	0.0100	0.6704	0.6666	0.0038	0.2346	0.2284	0.0062	0.1133	0.0994	0.0139	0.0690	0.0676	0.0014	0.0443	0.0319	0.0125
7	55	72	0.1677	5	2	1	2	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	53.7275	22.8436	4989673.9224	0.9048	0.8412	490995.1506	394056.6406	289743.6907	5444178.6626	3.3462	1.7159	95.1510	0.1241	0.1164	1.2445	4.5281	2.3113	106.0794	0.0623	0.0751	0.0000	0.1371	0.1384	0.0000	0.0000	0.0000	0.0000	0.9848	0.0001	0.4507	-0.0019	10.5615	19.4186	4.4355	10.9423	2.0027	1.0090	0.9937	0.0199	0.0186	0.0014	1.9828	0.9904	0.9923	0.0078	0.0078	0.0000	0.0078	0.0078	0.0000	0.0000	0.0000	0.0000	0.5985	0.5881	0.0104	0.1606	0.1595	0.0011	0.4379	0.4285	0.0094	0.1247	0.1034	0.0213	0.0566	0.0561	0.0005	0.0681	0.0473	0.0208
9	65	94	0.3551	6	1	2	1	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	11297.5428	62.4956	inf	6457.2720	88.6472	inf	inf	0.0000	inf	1.1308	0.0076	80.4743	1.5263	0.0212	192.4331	0.9140	0.0000	52.7685	0.0001	0.0001	0.0000	0.0002	0.0002	0.0000	0.0000	0.0000	0.0000	150.7466	0.0000	0.3983	-0.0000	16.9963	10.9571	14.9654	7.8684	0.5515	0.0036	0.5479	0.2635	0.0036	0.2599	0.2880	0.0000	0.2880	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4877	0.4809	0.0068	0.1727	0.1713	0.0014	0.3151	0.3096	0.0055	0.0647	0.0536	0.0112	0.0274	0.0271	0.0003	0.0373	0.0265	0.0108
23	53	54	0.4164	4	3	2	0	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	1600.1593	1365.5325	550207.8562	1382.3052	1323.1228	1935053.1142	12616.0655	30817.7135	145504.6393	1.3811	1.3732	2.1010	2.0222	2.0055	5.2146	0.0157	0.0025	0.5833	0.0009	0.0010	0.0000	0.0015	0.0015	0.0000	0.0000	0.0000	0.0000	0.0167	0.0006	-0.4492	-0.0000	15.6704	27.4957	5.6012	14.5564	1.7639	1.7349	0.0290	1.7575	1.7339	0.0236	0.0064	0.0010	0.0054	0.0001	0.0001	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	1.2772	1.2634	0.0138	0.8691	0.8646	0.0045	0.4081	0.3988	0.0093	0.0972	0.0834	0.0138	0.0573	0.0553	0.0020	0.0399	0.0281	0.0118
23	53	69	0.3699	4	2	1	0	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	38.0265	22.0876	441129.6901	134.7503	132.4482	25549.8148	9.7405	0.8677	403028.2499	2.3239	1.4392	61.5721	1.7427	1.7488	0.2684	3.9332	0.5463	77.4205	0.0611	0.0652	0.0001	0.0129	0.0132	0.0000	0.4038	0.6296	0.0002	0.6389	0.0001	0.2449	-0.0019	15.6704	27.4957	5.6012	14.5564	2.0631	1.2589	0.8042	1.1366	1.1358	0.0007	0.9265	0.1230	0.8035	0.0078	0.0078	0.0000	0.0014	0.0014	0.0000	0.0063	0.0063	0.0000	0.8878	0.8747	0.0131	0.6522	0.6495	0.0027	0.2356	0.2252	0.0104	0.1275	0.1196	0.0079	0.1118	0.1095	0.0023	0.0157	0.0101	0.0056
23	53	76	0.4239	4	2	2	0	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	0.9908	0.2015	3880.3218	10.9673	10.8591	7.1525	1.1500	0.0003	5372.6594	0.9206	0.2276	45.4344	0.3269	0.3289	0.0243	2.2124	0.0009	65.4197	0.9291	1.1295	0.0117	0.0298	0.0303	0.0034	1.9239	2.9874	0.0122	3.1079	0.0023	0.5922	-0.0230	15.6704	27.4957	5.6012	14.5564	1.2199	0.2970	0.9229	0.2967	0.2966	0.0002	0.9231	0.0004	0.9228	0.0968	0.0966	0.0002	0.0016	0.0016	0.0000	0.0952	0.0950	0.0002	1.3251	1.3048	0.0203	0.9079	0.9017	0.0062	0.4172	0.4031	0.0141	0.1042	0.0855	0.0187	0.0547	0.0537	0.0010	0.0495	0.0318	0.0177
23	53	82	0.3699	4	2	2	0	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	1.2102	1.5058	0.0142	0.8118	1.1167	0.0046	49.9129	47.5208	0.9933	2.1357	2.1681	0.0567	2.0923	2.1025	0.1367	2.1979	2.2645	0.0368	1.7648	1.4398	4.0030	2.5773	1.8828	29.9084	0.0440	0.0477	0.0371	0.0004	0.4037	-0.9347	0.0161	15.6704	27.4957	5.6012	14.5564	3.4529	3.4514	0.0014	1.9926	1.9919	0.0007	1.4603	1.4595	0.0007	0.3328	0.2371	0.0957	0.3302	0.2352	0.0949	0.0027	0.0019	0.0008	1.6167	1.5919	0.0248	0.9523	0.9474	0.0049	0.6644	0.6445	0.0199	0.1886	0.1647	0.0239	0.1281	0.1249	0.0032	0.0605	0.0398	0.0207
23	55	72	0.3649	4	3	2	1	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	96.9020	2.0657	37685392.0748	2.7213	2.5391	inf	1201289.4729	0.0000	41623408.5143	0.1003	0.0024	7.5352	0.0039	0.0037	0.0456	0.2723	0.0000	9.3104	0.0010	0.0012	0.0000	0.0014	0.0015	0.0000	0.0000	0.0000	0.0000	40.9183	0.0000	0.0428	-0.0000	15.6704	19.4186	5.6012	10.9423	0.0607	0.0014	0.0592	0.0015	0.0014	0.0001	0.0592	0.0000	0.0592	0.0001	0.0001	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.6053	0.5975	0.0079	0.3880	0.3865	0.0015	0.2174	0.2110	0.0064	0.0791	0.0698	0.0093	0.0570	0.0555	0.0015	0.0221	0.0143	0.0078
23	55	76	0.4239	4	2	3	0	0	0	0	0	0	N	Y	N	N	N	N	N	N	N	N	N	N	2574.9649	1194.1508	139034.3282	29.7120	22.7387	9167.9570	31902.7136	82939.6201	190840.9630	1.9481	0.9809	63.0231	0.0367	0.0285	1.2257	6.2294	3.1769	89.8788	0.0008	0.0008	0.0005	0.0012	0.0013	0.0001	0.0002	0.0000	0.0005	1.0175	0.1180	0.4673	-0.0000	15.6704	19.4186	5.6012	10.9423	2.0036	0.9931	1.0105	0.0261	0.0201	0.0060	1.9775	0.9730	1.0045	0.0001	0.0001	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	1.0285	1.0124	0.0160	0.7110	0.7062	0.0049	0.3174	0.3063	0.0112	0.0852	0.0702	0.0150	0.0460	0.0452	0.0008	0.0392	0.0250	0.0142
23	61	65	0.3849	6	1	2	1	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	558.8806	491.7286	0.0000	619.3768	606.0638	0.0000	4178.6915	inf	0.0000	1.1046	1.1221	0.0000	1.9489	1.9588	0.0000	0.0024	0.0024	0.0000	0.0020	0.0023	0.0000	0.0031	0.0032	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	-0.2675	-0.0000	15.6704	28.2755	5.6012	15.2532	0.9865	0.9865	0.0000	0.9856	0.9856	0.0000	0.0009	0.0009	0.0000	0.0002	0.0002	0.0000	0.0002	0.0002	0.0000	0.0000	0.0000	0.0000	0.8931	0.8791	0.0140	0.5057	0.5032	0.0026	0.3874	0.3760	0.0114	0.0882	0.0764	0.0118	0.0554	0.0539	0.0015	0.0328	0.0224	0.0104
