branch_id_1	branch_id_2	dist_bl	dist_node_num	branch_num_fg_tube	branch_num_fg_pink	branch_num_fg_yellow	branch_num_fg_beakless	branch_num_mg_tube	branch_num_mg_pink	branch_num_mg_yellow	branch_num_mg_beakless	is_fg_tube	is_fg_pink	is_fg_yellow	is_fg_beakless	is_mf_tube	is_mf_pink	is_mf_yellow	is_mf_beakless	is_mg_tube	is_mg_pink	is_mg_yellow	is_mg_beakless	omegaCany2any	omegaCany2dif	omegaCany2spe	omegaCdif2any	omegaCdif2dif	omegaCdif2spe	omegaCspe2any	omegaCspe2dif	omegaCspe2spe	dNCany2any	dNCany2dif	dNCany2spe	dNCdif2any	dNCdif2dif	dNCdif2spe	dNCspe2any	dNCspe2dif	dNCspe2spe	dSCany2any	dSCany2dif	dSCany2spe	dSCdif2any	dSCdif2dif	dSCdif2spe	dSCspe2any	dSCspe2dif	dSCspe2spe	OCNCoD	OCSCoD	OCN_linreg_residual	OCS_linreg_residual	N_sub_1	N_sub_2	S_sub_1	S_sub_2	OCNany2any	OCNany2dif	OCNany2spe	OCNdif2any	OCNdif2dif	OCNdif2spe	OCNspe2any	OCNspe2dif	OCNspe2spe	OCSany2any	OCSany2dif	OCSany2spe	OCSdif2any	OCSdif2dif	OCSdif2spe	OCSspe2any	OCSspe2dif	OCSspe2spe	ECNany2any	ECNany2dif	ECNany2spe	ECNdif2any	ECNdif2dif	ECNdif2spe	ECNspe2any	ECNspe2dif	ECNspe2spe	ECSany2any	ECSany2dif	ECSany2spe	ECSdif2any	ECSdif2dif	ECSdif2spe	ECSspe2any	ECSspe2dif	ECSspe2spe	omegaCany2any_nocalib	omegaCany2dif_nocalib	omegaCany2spe_nocalib	omegaCdif2any_nocalib	omegaCdif2dif_nocalib	omegaCdif2spe_nocalib	omegaCspe2any_nocalib	omegaCspe2dif_nocalib	omegaCspe2spe_nocalib	dSCany2any_nocalib	dSCany2dif_nocalib	dSCany2spe_nocalib	dSCdif2any_nocalib	dSCdif2dif_nocalib	dSCdif2spe_nocalib	dSCspe2any_nocalib	dSCspe2dif_nocalib	dSCspe2spe_nocalib
0	1	0.2534	6	1	1	0	1	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	0.0019	0.0012	0.0000	0.0008	0.0008	0.0000	0.0073	inf	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0004	0.0001	0.0010	0.0012	0.0000	0.0000	0.0000	0.0001	0.0000	0.1818	-0.0000	-0.0000	3.4000	2.9999	4.0474	1.1394	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1422	0.1239	0.0183	0.0296	0.0274	0.0022	0.1126	0.0965	0.0161	0.0531	0.0248	0.0282	0.0094	0.0081	0.0013	0.0437	0.0168	0.0269	0.0019	0.0012	0.0000	0.0008	0.0008	0.0000	0.0073	inf	0.0000	0.0002	0.0004	0.0001	0.0010	0.0012	0.0000	0.0000	0.0000	0.0001
0	2	0.2679	6	2	1	1	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	0.0019	0.0010	0.0000	0.0010	0.0009	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0024	0.0050	0.0006	0.0091	0.0104	0.0005	0.0005	0.0001	0.0006	0.0053	0.1719	-0.0000	-0.0001	3.4000	0.0153	4.0474	4.0189	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0001	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0042	0.0039	0.0003	0.0020	0.0020	0.0000	0.0021	0.0019	0.0002	0.0649	0.0264	0.0385	0.0144	0.0125	0.0019	0.0505	0.0139	0.0366	0.0019	0.0010	0.0000	0.0010	0.0009	0.0000	0.0000	0.0000	0.0000	0.0024	0.0050	0.0006	0.0091	0.0104	0.0005	0.0005	0.0001	0.0006
0	3	0.0957	2	1	2	0	0	0	0	0	0	N	Y	N	N	N	N	N	N	N	N	N	N	0.0005	0.0000	514.9010	0.0007	0.0001	inf	9.7887	49.7276	0.0000	0.0000	0.0001	0.0003	0.0000	0.0043	0.0000	0.0000	0.0000	0.0437	0.1229	0.0000	0.3550	0.3667	0.0000	0.0000	0.0000	0.0000	11.0416	0.0000	0.0000	-0.0057	3.4000	2.0007	4.0474	6.2665	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0086	0.0086	0.0000	0.0086	0.0086	0.0000	0.0000	0.0000	0.0000	0.1197	0.1033	0.0164	0.0086	0.0082	0.0005	0.1111	0.0951	0.0160	0.1956	0.0696	0.1261	0.0241	0.0233	0.0008	0.1715	0.0462	0.1253	0.0005	0.0000	514.9010	0.0007	0.0001	inf	9.7887	0.0000	49.7276	0.0437	0.1229	0.0000	0.3550	0.3667	0.0000	0.0000	0.0000	0.0000	
0	4	0.1836	6	1	1	1	1	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	2831668.9618	inf	0.0000	12468878.3829	inf	0.0000	1899425.0845	inf	0.0000	1.3666	1.5813	0.0000	7.3080	7.7545	0.0000	0.8779	1.0235	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	inf	-0.1252	0.0000	3.4000	5.0000	4.0474	0.0010	0.3977	0.3977	0.0000	0.1616	0.1616	0.0000	0.2361	0.2361	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2910	0.2515	0.0395	0.0221	0.0208	0.0013	0.2689	0.2307	0.0382	0.1015	0.0424	0.0592	0.0167	0.0151	0.0016	0.0848	0.0272	0.0576	2831668.9618	inf	0.0000	12468878.3829	inf	0.0000	1899425.0845	inf	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0	5	0.2739	7	2	2	0	0	0	0	0	0	Y	Y	N	N	N	N	N	N	N	N	N	N	1.9197	1.1001	0.0000	0.0090	0.0091	0.0000	142.0154	239.0181	0.0000	0.0418	0.0476	0.0000	0.0007	0.0007	0.0000	0.0550	0.0641	0.0000	0.0218	0.0433	0.0004	0.0753	0.0794	0.0000	0.0004	0.0003	0.0004	0.0000	0.0100	-0.0016	-0.0013	3.4000	1.9998	4.0474	2.0914	0.0050	0.0050	0.0000	0.0000	0.0000	0.0000	0.0050	0.0050	0.0000	0.0020	0.0020	0.0000	0.0020	0.0020	0.0000	0.0000	0.0000	0.0000	0.1209	0.1061	0.0148	0.0295	0.0277	0.0018	0.0914	0.0784	0.0130	0.0928	0.0462	0.0466	0.0265	0.0251	0.0014	0.0664	0.0211	0.0452	1.9197	1.1001	0.0000	0.0090	0.0091	0.0000	142.0154	239.0181	0.0000	0.0218	0.0433	0.0004	0.0753	0.0794	0.0000	0.0004	0.0003	0.0004
0	6	0.3238	7	2	1	1	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	0.0002	0.0002	0.0000	0.0006	0.0006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0000	0.0000	3.4000	0.9989	4.0474	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0503	0.0443	0.0060	0.0178	0.0167	0.0011	0.0325	0.0276	0.0050	0.0113	0.0056	0.0058	0.0038	0.0033	0.0006	0.0075	0.0023	0.0052	inf	inf	0.0000	inf	inf	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000						
0	7	0.2354	6	1	1	1	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	0.0002	0.0001	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.1726	0.5064	0.0000	0.9460	1.0372	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0000	-0.0183	3.4000	5.1334	4.0474	3.8598	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0273	0.0273	0.0000	0.0273	0.0273	0.0000	0.0000	0.0000	0.0000	0.3185	0.2808	0.0378	0.1001	0.0940	0.0061	0.2184	0.1867	0.0317	0.1584	0.0540	0.1044	0.0289	0.0264	0.0025	0.1295	0.0276	0.1019	0.0002	0.0001	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.1726	0.5064	0.0000	0.9460	1.0372	0.0000	0.0000	0.0000	0.0000		
0	8	0.0957	3	1	1	1	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	0.0000	0.0024	0.0000	0.0111	0.0114	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1703	0.0006	0.2794	0.0014	0.0014	0.0000	0.2025	0.0000	0.2813	0.0000	773.4820	-0.0000	0.0077	3.4000	3.0000	4.0474	2.7334	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0232	0.0000	0.0232	0.0000	0.0000	0.0000	0.0232	0.0000	0.0232	0.1732	0.1496	0.0236	0.0133	0.0126	0.0007	0.1599	0.1370	0.0228	0.1364	0.0534	0.0830	0.0219	0.0213	0.0006	0.1146	0.0321	0.0825	0.0000	0.0024	0.0000	0.0111	0.0114	0.0000	0.0000	0.0000	0.0000	0.1703	0.0006	0.2794	0.0014	0.0014	0.0000	0.2025	0.0000	0.2813		
0	9	0.2624	6	2	2	0	0	0	0	0	0	Y	Y	N	N	N	N	N	N	N	N	N	N	0.0032	0.0018	0.0000	0.0023	0.0023	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0007	0.0013	0.0001	0.0031	0.0034	0.0010	0.0000	0.0000	0.0000	0.0001	0.0727	-0.0000	-0.0000	3.4000	6.1418	4.0474	1.0387	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.3845	0.3392	0.0453	0.1123	0.1059	0.0063	0.2722	0.2333	0.0389	0.0940	0.0447	0.0493	0.0197	0.0176	0.0021	0.0743	0.0271	0.0472	0.0032	0.0018	0.0000	0.0023	0.0023	0.0000	0.0000	0.0000	0.0000	0.0007	0.0013	0.0001	0.0031	0.0034	0.0010	0.0000	0.0000	0.0000
0	10	0.2697	7	1	1	1	1	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	0.0002	0.0001	0.0000	0.0277	0.0261	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0004	0.0005	0.0000	0.0000	0.0000	0.0000	0.3411	1.5248	0.0080	0.0162	0.0180	0.0000	0.4223	4.6978	0.0083	0.0000	0.0139	-0.0000	-0.0138	3.4000	2.0000	4.0474	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0211	0.0209	0.0003	0.0002	0.0002	0.0000	0.0209	0.0207	0.0003	0.1194	0.1040	0.0154	0.0224	0.0213	0.0010	0.0971	0.0827	0.0144	0.0620	0.0257	0.0363	0.0124	0.0111	0.0012	0.0496	0.0145	0.0351	0.0002	0.0001	0.0000	0.0277	0.0261	0.0000	0.0000	0.0000	0.0000	0.3411	0.8122	0.0080	0.0162	0.0180	0.0000	0.4223	1.4210	0.0083	
