branch_id_1	branch_id_2	dist_bl	dist_node_num	branch_num_fg_tube	branch_num_fg_pink	branch_num_fg_yellow	branch_num_fg_beakless	branch_num_mg_tube	branch_num_mg_pink	branch_num_mg_yellow	branch_num_mg_beakless	is_fg_tube	is_fg_pink	is_fg_yellow	is_fg_beakless	is_mf_tube	is_mf_pink	is_mf_yellow	is_mf_beakless	is_mg_tube	is_mg_pink	is_mg_yellow	is_mg_beakless	omegaCany2any	omegaCany2dif	omegaCany2spe	omegaCdif2any	omegaCdif2dif	omegaCdif2spe	omegaCspe2any	omegaCspe2dif	omegaCspe2spe	dNCany2any	dNCany2dif	dNCany2spe	dNCdif2any	dNCdif2dif	dNCdif2spe	dNCspe2any	dNCspe2dif	dNCspe2spe	dSCany2any	dSCany2dif	dSCany2spe	dSCdif2any	dSCdif2dif	dSCdif2spe	dSCspe2any	dSCspe2dif	dSCspe2spe	OCNCoD	OCSCoD	OCN_linreg_residual	OCS_linreg_residual	N_sub_1	N_sub_2	S_sub_1	S_sub_2	OCNany2any	OCNany2dif	OCNany2spe	OCNdif2any	OCNdif2dif	OCNdif2spe	OCNspe2any	OCNspe2dif	OCNspe2spe	OCSany2any	OCSany2dif	OCSany2spe	OCSdif2any	OCSdif2dif	OCSdif2spe	OCSspe2any	OCSspe2dif	OCSspe2spe	ECNany2any	ECNany2dif	ECNany2spe	ECNdif2any	ECNdif2dif	ECNdif2spe	ECNspe2any	ECNspe2dif	ECNspe2spe	ECSany2any	ECSany2dif	ECSany2spe	ECSdif2any	ECSdif2dif	ECSdif2spe	ECSspe2any	ECSspe2dif	ECSspe2spe	omegaCany2any_nocalib	omegaCany2dif_nocalib	omegaCany2spe_nocalib	omegaCdif2any_nocalib	omegaCdif2dif_nocalib	omegaCdif2spe_nocalib	omegaCspe2any_nocalib	omegaCspe2dif_nocalib	omegaCspe2spe_nocalib	dSCany2any_nocalib	dSCany2dif_nocalib	dSCany2spe_nocalib	dSCdif2any_nocalib	dSCdif2dif_nocalib	dSCdif2spe_nocalib	dSCspe2any_nocalib	dSCspe2dif_nocalib	dSCspe2spe_nocalib
0	1	0.0762	3	1	1	1	1	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	0.9594	9617.0356	2.2463	117.9993	13.1135	686308.4675	0.9436	143176.8945	2.1965	1.5541	0.6002	7.5918	0.0554	0.0083	1.1624	1.6344	0.6356	7.6913	1.6198	0.0001	3.3798	0.0005	0.0006	0.0000	1.7320	0.0000	3.5016	1.9984	49841.6160	1.2660	0.4919	9.0529	19.0099	5.9554	8.0000	2.9989	1.0002	1.9987	0.0054	0.0008	0.0047	2.9935	0.9994	1.9941	0.9751	0.0000	0.9751	0.0000	0.0000	0.0000	0.9751	0.0000	0.9751	1.9297	1.6664	0.2633	0.0982	0.0942	0.0040	1.8315	1.5722	0.2593	0.6020	0.3135	0.2885	0.0390	0.0290	0.0100	0.5630	0.2845	0.2785	0.9594	9617.0356	2.2463	117.9993	13.1135	686308.4675	0.9436	143176.8945	2.1965	1.6198	0.0001	3.3798	0.0005	0.0006	0.0000	1.7320	0.0000	3.5016
0	2	0.1540	4	1	1	0	1	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	0.8359	0.6931	2.5635	0.2316	0.2780	0.2304	1.0073	9.7999	2.9076	0.0034	0.0008	0.0208	0.0010	0.0009	0.0038	0.0040	0.0008	0.0223	0.0040	0.0012	0.0081	0.0044	0.0031	0.0165	0.0039	0.0001	0.0077	3.7834	4.8817	0.0015	0.0004	9.0529	7.0590	5.9554	4.2802	0.0027	0.0006	0.0021	0.0002	0.0001	0.0000	0.0025	0.0004	0.0021	0.0013	0.0002	0.0011	0.0003	0.0002	0.0001	0.0010	0.0000	0.0010	0.7936	0.6920	0.1016	0.1564	0.1485	0.0079	0.6373	0.5435	0.0937	0.3313	0.1948	0.1365	0.0762	0.0690	0.0072	0.2551	0.1258	0.1293	0.8359	0.6931	2.5635	0.2316	0.2780	0.2304	1.0073	9.7999	2.9076	0.0040	0.0012	0.0081	0.0044	0.0031	0.0165	0.0039	0.0001	0.0077
0	3	0.2339	9	2	1	1	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	inf	0.0000	0.0000	9.0529	0.0000	5.9554	0.9939	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0133	0.0075	0.0058	0.0041	0.0029	0.0011	0.0093	0.0045	0.0047	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001						
0	4	0.0955	4	1	1	1	1	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0214	0.0259	0.0000	0.0450	0.0456	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0000	9.0529	0.0000	5.9554	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0214	0.0259	0.0000	0.0450	0.0456	0.0000	0.0000	0.0000	0.0000						
0	5	0.2150	8	2	2	0	0	0	0	0	0	Y	Y	N	N	N	N	N	N	N	N	N	N	6.1972	0.1154	15.3229	0.9483	0.2552	5.5684	4.9869	0.0000	13.4663	2.5323	0.0017	18.8560	0.0664	0.0074	1.5122	3.1557	0.0000	19.9412	0.4086	0.0144	1.2306	0.0700	0.0292	0.2716	0.6328	0.0003	1.4808	1753.1090	40.8513	0.7546	0.0400	9.0529	2.9480	5.9554	2.2679	0.9994	0.0006	0.9988	0.0053	0.0006	0.0047	0.9941	0.0000	0.9941	0.0833	0.0020	0.0813	0.0057	0.0020	0.0037	0.0776	0.0000	0.0776	0.3947	0.3417	0.0530	0.0796	0.0765	0.0031	0.3150	0.2652	0.0499	0.2038	0.1378	0.0661	0.0812	0.0675	0.0137	0.1226	0.0702	0.0524	6.1972	0.1154	15.3229	0.9483	0.2552	5.5684	4.9869	0.0000	13.4663	0.4086	0.0144	1.2306	0.0700	0.0292	0.2716	0.6328	0.0003	1.4808
0	6	0.2308	8	2	2	0	1	0	0	0	0	Y	Y	N	N	N	N	N	N	N	N	N	N	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0242	0.0293	0.0000	0.0492	0.0504	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0004	9.0529	0.0000	5.9554	0.1222	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0008	0.0000	0.0008	0.0008	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0334	0.0277	0.0057	0.0164	0.0161	0.0004	0.0169	0.0116	0.0053	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0242	0.0293	0.0000	0.0492	0.0504	0.0000	0.0000	0.0000	0.0000						
0	7	0.2339	9	2	1	1	0	0	0	0	0	Y	N	N	N	N	N	N	N	N	N	N	N	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.0529	0.0000	5.9554	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0161	0.0090	0.0070	0.0045	0.0033	0.0012	0.0115	0.0057	0.0058	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000											
0	8	0.1794	6	1	1	1	0	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	inf	inf	inf	inf	inf	inf	0.0001	0.0001	0.0000	0.0010	0.0011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0000	0.0000	9.0529	1.0000	5.9554	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1097	0.0946	0.0150	0.0100	0.0095	0.0005	0.0997	0.0852	0.0145	0.0219	0.0114	0.0105	0.0023	0.0018	0.0006	0.0196	0.0096	0.0100	inf	inf	0.0000	inf	inf	0.0000	inf	inf	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000				
0	9	0.1968	7	2	2	0	0	0	0	0	0	Y	Y	N	N	N	N	N	N	N	N	N	N	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0003	0.0000	0.0006	0.0007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0000	9.0529	9.0000	5.9554	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9338	0.8137	0.1201	0.1495	0.1393	0.0102	0.7843	0.6744	0.1099	0.2724	0.1593	0.1130	0.0664	0.0536	0.0129	0.2059	0.1058	0.1001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0003	0.0000	0.0006	0.0007	0.0000	0.0000	0.0000	0.0000						
0	10	0.2092	8	1	1	1	1	0	0	0	0	N	N	N	N	N	N	N	N	N	N	N	N	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.0529	0.0000	5.9554	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000											
