k	run	total_log_prob	dendroscope
5	run_183	-19275445.576000717	(longicaulis-JJ131,((lachnoglossa-DE536,((((tenuituba-DE541,delavayi-DE476),((mussotii-DE550,longiflora-red-DE531),(((decorissima-DE164,bidentata-DE672),chinensis-DE737),((fletcheri-JJ89,(latituba-DE88,(cranolopha-forked-DE151,tricolor-JJ130))),(souliei-DE549,(oxycarpa-DE504,(torta-yellow-purple-DE736,davidii-DE509))))))))#H1,(((przewalskii-DE69,(fetisowii-DE523,((cyathophylloides-DE181,rex-subsp-lipskyana-red-DE510),cyathophylla-DE561))))#H2,((bella-JJ85)#H3,((keiskei-DRR082660)#H4,(axillaris-JJ125,((rhinanthoides-DE560,macrosiphon-DE519),(#H1,(#H4,(#H2,#H3)))))))))),(rhodotricha-DE534,(cinerascens-DE542,(decora-DE216,ingens-JJ15)))));
4	run_233	-19275602.343900762	(longicaulis-JJ131,(((ingens-JJ15,decora-DE216),(cinerascens-DE542,rhodotricha-DE534)),(lachnoglossa-DE536,((((przewalskii-DE69,(fetisowii-DE523,(rex-subsp-lipskyana-red-DE510,(cyathophylloides-DE181,cyathophylla-DE561)))))#H1,((((latituba-DE88,((cranolopha-forked-DE151,tricolor-JJ130),fletcheri-JJ89)))#H3,((tenuituba-DE541,delavayi-DE476),((longiflora-red-DE531,mussotii-DE550),((bidentata-DE672,(decorissima-DE164,chinensis-DE737)),(((davidii-DE509,torta-yellow-purple-DE736),(souliei-DE549,oxycarpa-DE504)),#H3))))))#H2),((bella-JJ85)#H4,(keiskei-DRR082660,(axillaris-JJ125,((macrosiphon-DE519,rhinanthoides-DE560),(#H2,(#H1,#H4))))))))));
5	run_133	-19275616.04580723	(longicaulis-JJ131,(((rhodotricha-DE534,cinerascens-DE542),(ingens-JJ15,decora-DE216)),(lachnoglossa-DE536,(((((tenuituba-DE541,delavayi-DE476),((fletcheri-JJ89)#H2,(((bidentata-DE672,decorissima-DE164),chinensis-DE737),((mussotii-DE550,longiflora-red-DE531),(((oxycarpa-DE504,(torta-yellow-purple-DE736,davidii-DE509)),souliei-DE549),(latituba-DE88,((tricolor-JJ130,cranolopha-forked-DE151),#H2))))))))#H1,(((przewalskii-DE69,(fetisowii-DE523,(rex-subsp-lipskyana-red-DE510,(cyathophylloides-DE181,cyathophylla-DE561)))),(bella-JJ85)#H4))#H3),(#H4,(keiskei-DRR082660,(axillaris-JJ125,((macrosiphon-DE519,rhinanthoides-DE560),(#H1,#H3)))))))));
5	run_489	-19275786.34512106	(longicaulis-JJ131,(((cinerascens-DE542,(decora-DE216,ingens-JJ15)),rhodotricha-DE534),((((tenuituba-DE541,delavayi-DE476),((fletcheri-JJ89)#H2,((chinensis-DE737,(bidentata-DE672,decorissima-DE164)),((longiflora-red-DE531,mussotii-DE550),((souliei-DE549,((davidii-DE509,torta-yellow-purple-DE736),oxycarpa-DE504)),(latituba-DE88,(#H2,(cranolopha-forked-DE151,tricolor-JJ130)))))))))#H1,(lachnoglossa-DE536,(((bella-JJ85,((przewalskii-DE69,(fetisowii-DE523,((cyathophylla-DE561,cyathophylloides-DE181),rex-subsp-lipskyana-red-DE510))))#H4))#H3,(keiskei-DRR082660,(axillaris-JJ125,((macrosiphon-DE519,rhinanthoides-DE560),(#H1,(#H4,#H3))))))))));
5	run_373	-19275946.12830208	(longicaulis-JJ131,((lachnoglossa-DE536,(((keiskei-DRR082660)#H1,((bella-JJ85)#H2,((((fetisowii-DE523,przewalskii-DE69),(rex-subsp-lipskyana-red-DE510,(cyathophylla-DE561,cyathophylloides-DE181))),#H2))#H3)),(axillaris-JJ125,((rhinanthoides-DE560,macrosiphon-DE519),(#H1,(#H3,(((delavayi-DE476,tenuituba-DE541),((((((torta-yellow-purple-DE736,davidii-DE509),oxycarpa-DE504),souliei-DE549),(fletcheri-JJ89,(latituba-DE88,(tricolor-JJ130,cranolopha-forked-DE151)))),((chinensis-DE737,bidentata-DE672),decorissima-DE164)),(longiflora-red-DE531,mussotii-DE550))))#H4)))))),(#H4,((ingens-JJ15,decora-DE216),(cinerascens-DE542,rhodotricha-DE534)))));
5	run_005	-19276010.280698724	(longicaulis-JJ131,((((delavayi-DE476,tenuituba-DE541),((longiflora-red-DE531,mussotii-DE550),((decorissima-DE164,(chinensis-DE737,bidentata-DE672)),((fletcheri-JJ89,((tricolor-JJ130,cranolopha-forked-DE151),latituba-DE88)),(souliei-DE549,(oxycarpa-DE504,(davidii-DE509,torta-yellow-purple-DE736))))))))#H1,(((rhodotricha-DE534,cinerascens-DE542),(decora-DE216,ingens-JJ15)),(lachnoglossa-DE536,((keiskei-DRR082660,(axillaris-JJ125,((macrosiphon-DE519,rhinanthoides-DE560),(#H1,((bella-JJ85)#H2,(((przewalskii-DE69,(rex-subsp-lipskyana-red-DE510,(cyathophylloides-DE181,cyathophylla-DE561))),fetisowii-DE523))#H3))))),(#H3,#H2))))));
5	run_091	-19276171.012859955	(longicaulis-JJ131,(((decora-DE216,ingens-JJ15),(cinerascens-DE542,rhodotricha-DE534)),(lachnoglossa-DE536,(((((bella-JJ85)#H2,(axillaris-JJ125,(keiskei-DRR082660,(macrosiphon-DE519,rhinanthoides-DE560)))))#H1,((((tenuituba-DE541,delavayi-DE476),((mussotii-DE550,longiflora-red-DE531),((chinensis-DE737,(bidentata-DE672,decorissima-DE164)),(((latituba-DE88,fletcheri-JJ89),(cranolopha-forked-DE151,tricolor-JJ130)),(souliei-DE549,(oxycarpa-DE504,(torta-yellow-purple-DE736,davidii-DE509))))))))#H3,((#H2,(przewalskii-DE69,(fetisowii-DE523,(rex-subsp-lipskyana-red-DE510,(cyathophylloides-DE181,cyathophylla-DE561))))))#H4)),(#H4,(#H3,#H1))))));
5	run_234	-19276459.177854333	(longicaulis-JJ131,(((cinerascens-DE542,rhodotricha-DE534),(ingens-JJ15,decora-DE216)),((((((delavayi-DE476,tenuituba-DE541),((longiflora-red-DE531,mussotii-DE550),((chinensis-DE737,(bidentata-DE672,decorissima-DE164)),((fletcheri-JJ89,(latituba-DE88,(cranolopha-forked-DE151,tricolor-JJ130))),(souliei-DE549,(oxycarpa-DE504,(torta-yellow-purple-DE736,davidii-DE509))))))))#H2,((rex-subsp-lipskyana-red-DE510,(cyathophylla-DE561,cyathophylloides-DE181)))#H3))#H1,(lachnoglossa-DE536,(((bella-JJ85,((fetisowii-DE523,(przewalskii-DE69,#H3)))#H5))#H4,(axillaris-JJ125,(keiskei-DRR082660,(#H1,((macrosiphon-DE519,rhinanthoides-DE560),(#H4,(#H2,#H5)))))))))));
4	run_240	-19277008.031549245	(longicaulis-JJ131,(((ingens-JJ15,decora-DE216),(cinerascens-DE542,rhodotricha-DE534)),(lachnoglossa-DE536,((((delavayi-DE476,tenuituba-DE541),((((decorissima-DE164,bidentata-DE672),chinensis-DE737),(longiflora-red-DE531,mussotii-DE550)),(((cranolopha-forked-DE151,tricolor-JJ130),(latituba-DE88,fletcheri-JJ89)),((torta-yellow-purple-DE736,davidii-DE509),(souliei-DE549,oxycarpa-DE504))))))#H1,(((fetisowii-DE523,(przewalskii-DE69,(rex-subsp-lipskyana-red-DE510,(cyathophylloides-DE181,cyathophylla-DE561)))))#H2,((bella-JJ85)#H3,(axillaris-JJ125,(keiskei-DRR082660,((macrosiphon-DE519,rhinanthoides-DE560),(#H1,(#H3,#H2)))))))))));
4	run_420	-19277124.629901946	(longicaulis-JJ131,((lachnoglossa-DE536,((((przewalskii-DE69,(fetisowii-DE523,(rex-subsp-lipskyana-red-DE510,(cyathophylloides-DE181,cyathophylla-DE561)))),bella-JJ85))#H1,(keiskei-DRR082660,(axillaris-JJ125,((rhinanthoides-DE560,macrosiphon-DE519),(#H1,(((delavayi-DE476,tenuituba-DE541),((longiflora-red-DE531,mussotii-DE550),(((souliei-DE549,(oxycarpa-DE504,(davidii-DE509,torta-yellow-purple-DE736))),(fletcheri-JJ89,((cranolopha-forked-DE151,tricolor-JJ130),latituba-DE88))),((bidentata-DE672,decorissima-DE164),chinensis-DE737)))))#H2)))))),(#H2,((ingens-JJ15,decora-DE216),(rhodotricha-DE534,cinerascens-DE542)))));
4	run_162	-19277255.92915864	(longicaulis-JJ131,((cinerascens-DE542,(rhodotricha-DE534,(decora-DE216,ingens-JJ15))),((((tenuituba-DE541,delavayi-DE476),((mussotii-DE550,(longiflora-red-DE531,(((oxycarpa-DE504,(davidii-DE509,torta-yellow-purple-DE736)),souliei-DE549),(fletcheri-JJ89,(latituba-DE88,(tricolor-JJ130,cranolopha-forked-DE151)))))),(chinensis-DE737,(bidentata-DE672,decorissima-DE164)))))#H1,(lachnoglossa-DE536,((((przewalskii-DE69,fetisowii-DE523),((cyathophylla-DE561,cyathophylloides-DE181),rex-subsp-lipskyana-red-DE510)))#H2,((bella-JJ85)#H3,(keiskei-DRR082660,(axillaris-JJ125,((macrosiphon-DE519,rhinanthoides-DE560),(#H1,(#H2,#H3)))))))))));
5	run_320	-19277277.780461933	(longicaulis-JJ131,(((rhodotricha-DE534,cinerascens-DE542),(ingens-JJ15,decora-DE216)),(lachnoglossa-DE536,((((delavayi-DE476,tenuituba-DE541),(((decorissima-DE164,bidentata-DE672),chinensis-DE737),((fletcheri-JJ89,((cranolopha-forked-DE151,tricolor-JJ130),latituba-DE88)),((longiflora-red-DE531,mussotii-DE550),(souliei-DE549,(oxycarpa-DE504,(torta-yellow-purple-DE736,davidii-DE509))))))))#H1,((keiskei-DRR082660,(axillaris-JJ125,((macrosiphon-DE519,rhinanthoides-DE560),(#H1,(((fetisowii-DE523,(przewalskii-DE69,(rex-subsp-lipskyana-red-DE510,(cyathophylloides-DE181,cyathophylla-DE561)))))#H2,(bella-JJ85)#H3))))),(#H3,#H2))))));
