k	run	total_log_prob	dendroscope
5	run_208	-6178393.257633202	((ingens-JJ15,((((lutescens-DE126)#H2,(metaszetschuanica-DE668,((((((brevilabris-DE127,densispica-DE554),pectinatiformis-DE666))#H4,(#H2,(cephalantha-DE115,chumbica-JJ86))))#H3,(((anas-yellow-DE575,anas-purple-DE681),(((kansuensis-pink-DE507,kansuensis-white-DE704),kansuensis-yellow-DE162))#H5),(((semitorta-yellow-DE680,semitorta-magenta-DE623),#H5),(pseudomelampyriflora-DE563,(#H4,#H3))))))))#H1,(lachnoglossa-DE536,(batangensis-DE566,(((rhynchotricha-JJ99,integrifolia-DE152),(alaschanica-DE229,dichotoma-JJ23)),#H1))))),longicaulis-JJ131);
5	run_099	-6178745.833639908	(longicaulis-JJ131,((lachnoglossa-DE536,(batangensis-DE566,(((integrifolia-DE152,rhynchotricha-JJ99),(alaschanica-DE229,dichotoma-JJ23)),((((((cephalantha-DE115,chumbica-JJ86))#H3,lutescens-DE126))#H2,(metaszetschuanica-DE668,(((anas-purple-DE681,anas-yellow-DE575),(((kansuensis-pink-DE507,kansuensis-yellow-DE162),kansuensis-white-DE704))#H4),((pseudomelampyriflora-DE563,(#H3,(#H2,((brevilabris-DE127,densispica-DE554),pectinatiformis-DE666)))),(#H4,(semitorta-yellow-DE680,semitorta-magenta-DE623)))))))#H1))),(#H1,ingens-JJ15)));
5	run_347	-6178762.944046676	(longicaulis-JJ131,((lachnoglossa-DE536,(((metaszetschuanica-DE668,((((((kansuensis-white-DE704,(kansuensis-yellow-DE162,kansuensis-pink-DE507)))#H2,(semitorta-magenta-DE623,semitorta-yellow-DE680)),(((cephalantha-DE115,chumbica-JJ86))#H3,((((densispica-DE554,brevilabris-DE127),pectinatiformis-DE666))#H4,pseudomelampyriflora-DE563))),((anas-yellow-DE575,anas-purple-DE681),#H2)),(lutescens-DE126,(#H3,#H4)))))#H1,(batangensis-DE566,(#H1,((rhynchotricha-JJ99,integrifolia-DE152),(alaschanica-DE229,dichotoma-JJ23)))))),ingens-JJ15));
5	run_066	-6178843.886179545	(longicaulis-JJ131,(ingens-JJ15,(((((anas-yellow-DE575,anas-purple-DE681))#H2,(metaszetschuanica-DE668,((lutescens-DE126,(((((densispica-DE554,brevilabris-DE127))#H4,(pseudomelampyriflora-DE563,(pectinatiformis-DE666,#H4))))#H3,(chumbica-JJ86,cephalantha-DE115))),(#H3,((semitorta-magenta-DE623,semitorta-yellow-DE680),(#H2,(kansuensis-pink-DE507,(kansuensis-white-DE704,kansuensis-yellow-DE162)))))))))#H1,(lachnoglossa-DE536,(batangensis-DE566,(#H1,((dichotoma-JJ23,alaschanica-DE229),(rhynchotricha-JJ99,integrifolia-DE152))))))));
5	run_083	-6178908.7674883725	(longicaulis-JJ131,((lachnoglossa-DE536,(((metaszetschuanica-DE668,(((anas-yellow-DE575,anas-purple-DE681))#H2,((((semitorta-magenta-DE623,semitorta-yellow-DE680),(#H2,(kansuensis-pink-DE507,(kansuensis-yellow-DE162,kansuensis-white-DE704)))),(pseudomelampyriflora-DE563,(((densispica-DE554,brevilabris-DE127),pectinatiformis-DE666),((chumbica-JJ86,cephalantha-DE115))#H3))),(lutescens-DE126,#H3)))))#H1,(batangensis-DE566,(#H1,((dichotoma-JJ23,alaschanica-DE229),(integrifolia-DE152,rhynchotricha-JJ99)))))),ingens-JJ15));
5	run_500	-6179091.372803892	(longicaulis-JJ131,((((metaszetschuanica-DE668,((lutescens-DE126,((((brevilabris-DE127,densispica-DE554),pectinatiformis-DE666))#H2,(cephalantha-DE115,chumbica-JJ86))),((anas-yellow-DE575,(anas-purple-DE681,((kansuensis-white-DE704,(kansuensis-pink-DE507,kansuensis-yellow-DE162)))#H3)),(((semitorta-yellow-DE680,semitorta-magenta-DE623),#H3),(pseudomelampyriflora-DE563,#H2))))))#H1,(ingens-JJ15,((((dichotoma-JJ23,alaschanica-DE229),(rhynchotricha-JJ99,integrifolia-DE152)))#H4,((batangensis-DE566,(#H1,#H4)))#H5))),(lachnoglossa-DE536,#H5)));
5	run_089	-6179172.3909077775	(longicaulis-JJ131,(ingens-JJ15,(((metaszetschuanica-DE668,((((anas-yellow-DE575,anas-purple-DE681),((kansuensis-white-DE704,(kansuensis-pink-DE507,kansuensis-yellow-DE162)))#H3))#H2,((cephalantha-DE115)#H4,((lutescens-DE126,((chumbica-JJ86,#H4))#H5),((pseudomelampyriflora-DE563,(#H5,(pectinatiformis-DE666,(brevilabris-DE127,densispica-DE554)))),(#H3,(#H2,(semitorta-yellow-DE680,semitorta-magenta-DE623)))))))))#H1,(lachnoglossa-DE536,(batangensis-DE566,(#H1,((dichotoma-JJ23,alaschanica-DE229),(integrifolia-DE152,rhynchotricha-JJ99))))))));
5	run_200	-6179389.113811291	(longicaulis-JJ131,(ingens-JJ15,((batangensis-DE566,(((integrifolia-DE152,rhynchotricha-JJ99),(alaschanica-DE229,dichotoma-JJ23)),((((anas-yellow-DE575,anas-purple-DE681))#H2,(metaszetschuanica-DE668,((lutescens-DE126,((cephalantha-DE115,chumbica-JJ86),((pectinatiformis-DE666,(brevilabris-DE127,densispica-DE554)))#H3)),(((semitorta-yellow-DE680,semitorta-magenta-DE623),(((kansuensis-pink-DE507,kansuensis-yellow-DE162),kansuensis-white-DE704),#H2)),(#H3,pseudomelampyriflora-DE563))))))#H1)),(#H1,lachnoglossa-DE536))));
5	run_413	-6179539.017139369	(longicaulis-JJ131,(((metaszetschuanica-DE668,((((anas-purple-DE681,anas-yellow-DE575))#H2,((pseudomelampyriflora-DE563,((pectinatiformis-DE666,(brevilabris-DE127,densispica-DE554)),((lutescens-DE126)#H3,((cephalantha-DE115,chumbica-JJ86))#H4))),((semitorta-yellow-DE680,semitorta-magenta-DE623),(#H2,(kansuensis-white-DE704,(kansuensis-yellow-DE162,kansuensis-pink-DE507)))))),(#H4,#H3))))#H1,(ingens-JJ15,(lachnoglossa-DE536,(batangensis-DE566,(#H1,((integrifolia-DE152,rhynchotricha-JJ99),(dichotoma-JJ23,alaschanica-DE229))))))));
5	run_002	-6179553.766233662	((ingens-JJ15,(lachnoglossa-DE536,(((metaszetschuanica-DE668,((((((pectinatiformis-DE666,(brevilabris-DE127,densispica-DE554)),((chumbica-JJ86,cephalantha-DE115))#H4))#H3)#H2,(lutescens-DE126,#H4)),(((anas-yellow-DE575,anas-purple-DE681),((kansuensis-pink-DE507,(kansuensis-white-DE704,kansuensis-yellow-DE162)))#H5),(((semitorta-yellow-DE680,semitorta-magenta-DE623),(#H5,#H2)),(pseudomelampyriflora-DE563,#H3))))))#H1,(batangensis-DE566,(((dichotoma-JJ23,alaschanica-DE229),(rhynchotricha-JJ99,integrifolia-DE152)),#H1))))),longicaulis-JJ131);
5	run_361	-6179566.272100372	((ingens-JJ15,(((((anas-purple-DE681,anas-yellow-DE575))#H2,(metaszetschuanica-DE668,((((chumbica-JJ86,cephalantha-DE115),(lutescens-DE126)#H4))#H3,((pseudomelampyriflora-DE563,(((brevilabris-DE127,densispica-DE554),pectinatiformis-DE666),#H3)),((semitorta-yellow-DE680,semitorta-magenta-DE623),(#H2,(kansuensis-white-DE704,(kansuensis-yellow-DE162,kansuensis-pink-DE507)))))))))#H1,(lachnoglossa-DE536,(batangensis-DE566,(((dichotoma-JJ23,alaschanica-DE229),(integrifolia-DE152,rhynchotricha-JJ99)),(#H1,#H4)))))),longicaulis-JJ131);
5	run_423	-6179687.981826514	(longicaulis-JJ131,(ingens-JJ15,(lachnoglossa-DE536,(((metaszetschuanica-DE668,(((((pseudomelampyriflora-DE563,((pectinatiformis-DE666,(brevilabris-DE127,densispica-DE554)))#H3),((semitorta-yellow-DE680,semitorta-magenta-DE623),((kansuensis-yellow-DE162,(kansuensis-white-DE704,kansuensis-pink-DE507)))#H4)))#H2,(lutescens-DE126,(cephalantha-DE115,(chumbica-JJ86,#H3)))),(#H2,((anas-purple-DE681,anas-yellow-DE575),#H4)))))#H1,(batangensis-DE566,(((integrifolia-DE152,rhynchotricha-JJ99),(dichotoma-JJ23,alaschanica-DE229)),#H1))))));
4	run_103	-6179944.773126611	(longicaulis-JJ131,(((metaszetschuanica-DE668,(((anas-yellow-DE575,anas-purple-DE681))#H2,((((((chumbica-JJ86,cephalantha-DE115),((pectinatiformis-DE666,(brevilabris-DE127,densispica-DE554)))#H4))#H3,(#H4,pseudomelampyriflora-DE563)),((semitorta-magenta-DE623,semitorta-yellow-DE680),(#H2,(kansuensis-yellow-DE162,(kansuensis-white-DE704,kansuensis-pink-DE507))))),(#H3,lutescens-DE126)))))#H1,(ingens-JJ15,(lachnoglossa-DE536,(batangensis-DE566,(#H1,((dichotoma-JJ23,alaschanica-DE229),(integrifolia-DE152,rhynchotricha-JJ99))))))));
5	run_376	-6180244.20086062	(longicaulis-JJ131,(ingens-JJ15,(lachnoglossa-DE536,((batangensis-DE566,((((rhynchotricha-JJ99,integrifolia-DE152),(dichotoma-JJ23,alaschanica-DE229)))#H1,(((((chumbica-JJ86,cephalantha-DE115),lutescens-DE126))#H3,(metaszetschuanica-DE668,(((anas-yellow-DE575,anas-purple-DE681))#H4,(((semitorta-magenta-DE623,semitorta-yellow-DE680),((kansuensis-pink-DE507,(kansuensis-yellow-DE162,kansuensis-white-DE704)),#H4)),(pseudomelampyriflora-DE563,(#H3,((brevilabris-DE127,densispica-DE554),pectinatiformis-DE666))))))))#H2)),(#H1,#H2)))));
5	run_122	-6180429.182527034	(longicaulis-JJ131,(((((anas-yellow-DE575,anas-purple-DE681))#H2,(metaszetschuanica-DE668,((lutescens-DE126,((cephalantha-DE115,chumbica-JJ86),(((densispica-DE554,brevilabris-DE127),pectinatiformis-DE666))#H3)),(((((kansuensis-white-DE704,(kansuensis-pink-DE507,kansuensis-yellow-DE162)))#H4,(semitorta-magenta-DE623,semitorta-yellow-DE680)),(pseudomelampyriflora-DE563,#H3)),(#H2,#H4))))))#H1,(ingens-JJ15,(lachnoglossa-DE536,(batangensis-DE566,(#H1,((rhynchotricha-JJ99,integrifolia-DE152),(dichotoma-JJ23,alaschanica-DE229))))))));
4	run_240	-6180450.915722774	(longicaulis-JJ131,(ingens-JJ15,(((metaszetschuanica-DE668,(((((((pseudomelampyriflora-DE563,((brevilabris-DE127,densispica-DE554),pectinatiformis-DE666)))#H3,(chumbica-JJ86,cephalantha-DE115)))#H2,(#H3,(((kansuensis-yellow-DE162,(kansuensis-pink-DE507,kansuensis-white-DE704)))#H4,(semitorta-yellow-DE680,semitorta-magenta-DE623)))),(#H4,(anas-purple-DE681,anas-yellow-DE575))),(lutescens-DE126,#H2))))#H1,(lachnoglossa-DE536,(batangensis-DE566,(#H1,((dichotoma-JJ23,alaschanica-DE229),(rhynchotricha-JJ99,integrifolia-DE152))))))));
