k	run	total_log_prob	dendroscope
5	run_175	-15071761.899253417	(longicaulis-JJ131,(ingens-JJ15,(((((axillaris-JJ125,(macrosiphon-DE519,((bella-JJ85,((rex-subsp-lipskyana-red-DE510,cyathophylla-DE561),(fetisowii-DE523,przewalskii-DE69))),(tenuituba-DE541,(mussotii-DE550,(oxycarpa-DE504,((chinensis-DE737,armata-DE671),cranolopha-forked-DE151))))))))#H1,(((((((((((densispica-DE554,pectinatiformis-DE666))#H4,semitorta-yellow-DE680),(anas-purple-DE681,kansuensis-white-DE528)),(((cephalantha-DE115,urceolata-DE546),#H4),lutescens-DE126)),metaszetschuanica-DE668))#H3,integrifolia-DE152),batangensis-DE566),mollis-JJ74))#H2),((#H2,#H3),#H1)),lachnoglossa-DE536)));
4	run_361	-15072423.229499748	((ingens-JJ15,((((((((((((lutescens-DE126,(cephalantha-DE115,urceolata-DE546)))#H2,(pectinatiformis-DE666,densispica-DE554)),(kansuensis-white-DE528,semitorta-yellow-DE680)),anas-purple-DE681),#H2),metaszetschuanica-DE668))#H1,((((#H1,integrifolia-DE152),batangensis-DE566),mollis-JJ74))#H3),((macrosiphon-DE519,(axillaris-JJ125,((bella-JJ85,(przewalskii-DE69,(fetisowii-DE523,(cyathophylla-DE561,rex-subsp-lipskyana-red-DE510)))),(tenuituba-DE541,((chinensis-DE737,armata-DE671),(oxycarpa-DE504,(cranolopha-forked-DE151,mussotii-DE550))))))))#H4),(#H4,#H3)),lachnoglossa-DE536)),longicaulis-JJ131);
3	run_319	-15074131.955037363	(longicaulis-JJ131,(((((mollis-JJ74,((((((metaszetschuanica-DE668,((semitorta-yellow-DE680,(anas-purple-DE681,kansuensis-white-DE528)),((pectinatiformis-DE666,densispica-DE554),(lutescens-DE126,(urceolata-DE546,cephalantha-DE115))))))#H2,integrifolia-DE152),batangensis-DE566),#H2))#H1),((axillaris-JJ125,(macrosiphon-DE519,((cranolopha-forked-DE151,(oxycarpa-DE504,(tenuituba-DE541,(mussotii-DE550,(chinensis-DE737,armata-DE671))))),(bella-JJ85,(fetisowii-DE523,(przewalskii-DE69,(cyathophylla-DE561,rex-subsp-lipskyana-red-DE510))))))))#H3),(#H3,#H1)),lachnoglossa-DE536),ingens-JJ15));
5	run_437	-15076738.608595975	((ingens-JJ15,((((((((((((lutescens-DE126)#H2,(urceolata-DE546,cephalantha-DE115)),(pectinatiformis-DE666,densispica-DE554)),(semitorta-yellow-DE680,(kansuensis-white-DE528,anas-purple-DE681))),#H2),metaszetschuanica-DE668))#H1,integrifolia-DE152),batangensis-DE566),mollis-JJ74),((#H1,(((mussotii-DE550,((armata-DE671,chinensis-DE737),(cranolopha-forked-DE151,oxycarpa-DE504))),tenuituba-DE541))#H3),((((przewalskii-DE69,(fetisowii-DE523,(rex-subsp-lipskyana-red-DE510,cyathophylla-DE561))))#H4,(bella-JJ85)#H5),((((#H4,#H3),#H5),macrosiphon-DE519),axillaris-JJ125)))),lachnoglossa-DE536)),longicaulis-JJ131);
4	run_450	-15077120.801876688	((((((((integrifolia-DE152,((((((semitorta-yellow-DE680,((pectinatiformis-DE666,densispica-DE554))#H2),kansuensis-white-DE528),anas-purple-DE681),(#H2,(lutescens-DE126,(urceolata-DE546,cephalantha-DE115)))),metaszetschuanica-DE668))#H1),batangensis-DE566),mollis-JJ74),(((axillaris-JJ125,(macrosiphon-DE519,((tenuituba-DE541,(mussotii-DE550,(cranolopha-forked-DE151,((chinensis-DE737,armata-DE671),oxycarpa-DE504)))),(bella-JJ85,(fetisowii-DE523,(przewalskii-DE69,(rex-subsp-lipskyana-red-DE510,cyathophylla-DE561))))))))#H4,(#H1)#H3)),#H4),lachnoglossa-DE536),ingens-JJ15),(#H3,longicaulis-JJ131));
4	run_007	-15077231.70455004	(longicaulis-JJ131,(ingens-JJ15,(((((((((((pectinatiformis-DE666,densispica-DE554),(((urceolata-DE546,cephalantha-DE115),lutescens-DE126))#H2),(semitorta-yellow-DE680,(anas-purple-DE681,kansuensis-white-DE528))),metaszetschuanica-DE668),#H2),integrifolia-DE152),batangensis-DE566))#H1,((axillaris-JJ125,(macrosiphon-DE519,((bella-JJ85,((fetisowii-DE523,(cyathophylla-DE561,rex-subsp-lipskyana-red-DE510)),przewalskii-DE69)),((mussotii-DE550,(oxycarpa-DE504,(cranolopha-forked-DE151,(chinensis-DE737,armata-DE671)))),tenuituba-DE541)))))#H3),((((mollis-JJ74)#H4,#H1),#H3),#H4)),lachnoglossa-DE536)));
5	run_012	-15077457.195579266	(longicaulis-JJ131,(ingens-JJ15,(((((((integrifolia-DE152)#H1,((((((semitorta-yellow-DE680,((densispica-DE554,pectinatiformis-DE666))#H3),anas-purple-DE681),kansuensis-white-DE528),(((cephalantha-DE115,#H3),urceolata-DE546),lutescens-DE126)),metaszetschuanica-DE668))#H2),batangensis-DE566),(((axillaris-JJ125,macrosiphon-DE519),((bella-JJ85,(przewalskii-DE69,(fetisowii-DE523,(rex-subsp-lipskyana-red-DE510,cyathophylla-DE561)))),(tenuituba-DE541,(mussotii-DE550,((cranolopha-forked-DE151,oxycarpa-DE504),(armata-DE671,chinensis-DE737)))))))#H4),mollis-JJ74),((#H1,#H4),#H2)),lachnoglossa-DE536)));
4	run_154	-15077554.27321069	(((((((((((((cranolopha-forked-DE151,(mussotii-DE550,(tenuituba-DE541,(oxycarpa-DE504,(armata-DE671,chinensis-DE737))))))#H4,((przewalskii-DE69,(fetisowii-DE523,(cyathophylla-DE561,rex-subsp-lipskyana-red-DE510))))#H1),(bella-JJ85)#H2),macrosiphon-DE519),axillaris-JJ125),(#H2,#H1)),((metaszetschuanica-DE668,(((anas-purple-DE681,kansuensis-white-DE528),semitorta-yellow-DE680),((lutescens-DE126,(urceolata-DE546,cephalantha-DE115)),(pectinatiformis-DE666,densispica-DE554)))))#H3),(((integrifolia-DE152,#H3),batangensis-DE566),mollis-JJ74)),#H4),lachnoglossa-DE536),ingens-JJ15),longicaulis-JJ131);
3	run_014	-15077663.727853263	((ingens-JJ15,(((((((((metaszetschuanica-DE668,(anas-purple-DE681,(((densispica-DE554,pectinatiformis-DE666),(urceolata-DE546,(cephalantha-DE115,lutescens-DE126))),(kansuensis-white-DE528,semitorta-yellow-DE680)))))#H2,integrifolia-DE152),batangensis-DE566))#H1,#H2),((((tenuituba-DE541,(mussotii-DE550,(cranolopha-forked-DE151,(oxycarpa-DE504,(chinensis-DE737,armata-DE671))))),(bella-JJ85,((cyathophylla-DE561,rex-subsp-lipskyana-red-DE510),(przewalskii-DE69,fetisowii-DE523)))),(macrosiphon-DE519,axillaris-JJ125)))#H3),((mollis-JJ74,#H1),#H3)),lachnoglossa-DE536)),longicaulis-JJ131);
5	run_080	-15077779.07904044	(longicaulis-JJ131,(ingens-JJ15,((((mollis-JJ74,((batangensis-DE566,(integrifolia-DE152,(((((((densispica-DE554,pectinatiformis-DE666))#H2,cephalantha-DE115),urceolata-DE546),lutescens-DE126),(((semitorta-yellow-DE680,kansuensis-white-DE528),#H2),anas-purple-DE681)),metaszetschuanica-DE668))))#H1),((axillaris-JJ125,(macrosiphon-DE519,((tenuituba-DE541,(((cranolopha-forked-DE151,oxycarpa-DE504),(chinensis-DE737,armata-DE671)),mussotii-DE550)),(bella-JJ85,(fetisowii-DE523,((rex-subsp-lipskyana-red-DE510,cyathophylla-DE561),przewalskii-DE69)))))))#H3),(#H1,#H3)),lachnoglossa-DE536)));
5	run_163	-15077809.053069176	((ingens-JJ15,((((mollis-JJ74,((batangensis-DE566,((((((cephalantha-DE115,((pectinatiformis-DE666,densispica-DE554))#H2),urceolata-DE546),lutescens-DE126),(((#H2,kansuensis-white-DE528),semitorta-yellow-DE680),anas-purple-DE681)),metaszetschuanica-DE668),integrifolia-DE152)))#H1),((axillaris-JJ125,(macrosiphon-DE519,((tenuituba-DE541,((chinensis-DE737,armata-DE671),(oxycarpa-DE504,(mussotii-DE550,cranolopha-forked-DE151)))),(bella-JJ85,(fetisowii-DE523,(przewalskii-DE69,(rex-subsp-lipskyana-red-DE510,cyathophylla-DE561))))))))#H3),(#H3,#H1)),lachnoglossa-DE536)),longicaulis-JJ131);
4	run_004	-15077902.86625693	(longicaulis-JJ131,(ingens-JJ15,(((((axillaris-JJ125,(macrosiphon-DE519,((bella-JJ85,((fetisowii-DE523,(cyathophylla-DE561,rex-subsp-lipskyana-red-DE510)),przewalskii-DE69)),((((chinensis-DE737,armata-DE671),(mussotii-DE550,oxycarpa-DE504)),cranolopha-forked-DE151),tenuituba-DE541)))))#H1,((batangensis-DE566,(integrifolia-DE152,(((((((densispica-DE554,pectinatiformis-DE666))#H3,semitorta-yellow-DE680),kansuensis-white-DE528),anas-purple-DE681),(#H3,(lutescens-DE126,(cephalantha-DE115,urceolata-DE546)))),metaszetschuanica-DE668))))#H2),((mollis-JJ74,#H2),#H1)),lachnoglossa-DE536)));
4	run_234	-15077902.898666238	((ingens-JJ15,(((((batangensis-DE566,(integrifolia-DE152,(((((semitorta-yellow-DE680,((densispica-DE554,pectinatiformis-DE666))#H2),kansuensis-white-DE528),anas-purple-DE681),(#H2,(lutescens-DE126,(urceolata-DE546,cephalantha-DE115)))),metaszetschuanica-DE668))))#H1,((axillaris-JJ125,(macrosiphon-DE519,((tenuituba-DE541,(mussotii-DE550,(cranolopha-forked-DE151,((armata-DE671,chinensis-DE737),oxycarpa-DE504)))),(bella-JJ85,(przewalskii-DE69,(fetisowii-DE523,(cyathophylla-DE561,rex-subsp-lipskyana-red-DE510))))))))#H3),((mollis-JJ74,#H1),#H3)),lachnoglossa-DE536)),longicaulis-JJ131);
4	run_303	-15078062.213585295	((((((((integrifolia-DE152,(((((((pectinatiformis-DE666,densispica-DE554))#H2,(cephalantha-DE115,urceolata-DE546)),lutescens-DE126),(((semitorta-yellow-DE680,#H2),kansuensis-white-DE528),anas-purple-DE681)),metaszetschuanica-DE668))#H1),batangensis-DE566),mollis-JJ74),(((((((rex-subsp-lipskyana-red-DE510,cyathophylla-DE561),fetisowii-DE523),przewalskii-DE69),((tenuituba-DE541,(mussotii-DE550,((oxycarpa-DE504,cranolopha-forked-DE151),(chinensis-DE737,armata-DE671)))))#H3),bella-JJ85),(#H1)#H4),((macrosiphon-DE519,#H3),axillaris-JJ125))),lachnoglossa-DE536),ingens-JJ15),longicaulis-JJ131),#H4);
4	run_093	-15078124.473478727	(longicaulis-JJ131,((((((((integrifolia-DE152,(((((((semitorta-yellow-DE680)#H3,(kansuensis-white-DE528)#H2),(densispica-DE554,pectinatiformis-DE666)),(lutescens-DE126,(cephalantha-DE115,urceolata-DE546))),#H3),(#H2,anas-purple-DE681)),metaszetschuanica-DE668)),batangensis-DE566))#H1,mollis-JJ74),((((tenuituba-DE541,(mussotii-DE550,((cranolopha-forked-DE151,(armata-DE671,chinensis-DE737)),oxycarpa-DE504))),(bella-JJ85,(fetisowii-DE523,(przewalskii-DE69,(cyathophylla-DE561,rex-subsp-lipskyana-red-DE510))))),(macrosiphon-DE519,axillaris-JJ125)))#H4),(#H4,#H1)),lachnoglossa-DE536),ingens-JJ15));
5	run_164	-15078291.027790315	((ingens-JJ15,((((mollis-JJ74,(((integrifolia-DE152,(((((kansuensis-white-DE528,((densispica-DE554,pectinatiformis-DE666))#H2),semitorta-yellow-DE680),anas-purple-DE681),((#H2,lutescens-DE126),(cephalantha-DE115,urceolata-DE546))),metaszetschuanica-DE668)),batangensis-DE566))#H1),((axillaris-JJ125,(macrosiphon-DE519,((bella-JJ85,(przewalskii-DE69,(fetisowii-DE523,(rex-subsp-lipskyana-red-DE510,cyathophylla-DE561)))),(mussotii-DE550,(tenuituba-DE541,((oxycarpa-DE504,cranolopha-forked-DE151),(chinensis-DE737,armata-DE671))))))))#H3),(#H1,#H3)),lachnoglossa-DE536)),longicaulis-JJ131);
4	run_213	-15078461.334115556	((ingens-JJ15,((((((batangensis-DE566,((((lutescens-DE126,(((cephalantha-DE115)#H3,urceolata-DE546))#H2),((((densispica-DE554,pectinatiformis-DE666),#H3),#H2),((anas-purple-DE681,kansuensis-white-DE528),semitorta-yellow-DE680))),metaszetschuanica-DE668),integrifolia-DE152)))#H1,mollis-JJ74),((axillaris-JJ125,(macrosiphon-DE519,((tenuituba-DE541,((cranolopha-forked-DE151,(oxycarpa-DE504,(chinensis-DE737,armata-DE671))),mussotii-DE550)),(bella-JJ85,(((cyathophylla-DE561,rex-subsp-lipskyana-red-DE510),fetisowii-DE523),przewalskii-DE69))))))#H4),(#H4,#H1)),lachnoglossa-DE536)),longicaulis-JJ131);
4	run_487	-15078944.911096951	(longicaulis-JJ131,(ingens-JJ15,((((mollis-JJ74,((batangensis-DE566,(integrifolia-DE152,(metaszetschuanica-DE668,((((pectinatiformis-DE666,densispica-DE554),((urceolata-DE546,cephalantha-DE115),lutescens-DE126)),(semitorta-yellow-DE680,kansuensis-white-DE528)),anas-purple-DE681)))))#H1),((((((((fetisowii-DE523,(przewalskii-DE69,(rex-subsp-lipskyana-red-DE510,cyathophylla-DE561))))#H3,((tenuituba-DE541,(oxycarpa-DE504,((mussotii-DE550,(chinensis-DE737,armata-DE671)),cranolopha-forked-DE151))))#H4),bella-JJ85),macrosiphon-DE519),(#H4,#H3)),axillaris-JJ125))#H2),(#H1,#H2)),lachnoglossa-DE536)));
4	run_127	-15079321.35616639	((ingens-JJ15,((((((macrosiphon-DE519,((tenuituba-DE541,((cranolopha-forked-DE151,(oxycarpa-DE504,(armata-DE671,chinensis-DE737))),mussotii-DE550)),((przewalskii-DE69,(fetisowii-DE523,(rex-subsp-lipskyana-red-DE510,cyathophylla-DE561))),bella-JJ85))),axillaris-JJ125))#H1,((batangensis-DE566,(integrifolia-DE152,((((cephalantha-DE115,(urceolata-DE546,lutescens-DE126)),((densispica-DE554,pectinatiformis-DE666))#H3),(#H3,((kansuensis-white-DE528,anas-purple-DE681),semitorta-yellow-DE680))),metaszetschuanica-DE668))))#H2),((mollis-JJ74,#H2),#H1)),lachnoglossa-DE536)),longicaulis-JJ131);
